Gmt time,Open,High,Low,Close,Volume
06.09.2019 00:00:00.000,1.10342,1.10574,1.10205,1.10324,151164.5469
08.09.2019 00:00:00.000,1.10279,1.10287,1.10199,1.10207,4002.6399
09.09.2019 00:00:00.000,1.10206,1.10683,1.10157,1.10472,133857.1719
10.09.2019 00:00:00.000,1.10474,1.10597,1.10307,1.10503,126173.5625
11.09.2019 00:00:00.000,1.10503,1.10559,1.09855,1.10138,126395.6563
12.09.2019 00:00:00.000,1.10137,1.10873,1.09269,1.10565,192528.7344
13.09.2019 00:00:00.000,1.10565,1.11097,1.10565,1.10770,159544.5313
15.09.2019 00:00:00.000,1.10752,1.10865,1.10706,1.10835,6187.7998
16.09.2019 00:00:00.000,1.10834,1.10847,1.09936,1.10035,145822.4375
17.09.2019 00:00:00.000,1.10034,1.10759,1.09904,1.10741,161108.5938
18.09.2019 00:00:00.000,1.10742,1.10750,1.10140,1.10295,152989.7656
19.09.2019 00:00:00.000,1.10295,1.10738,1.10231,1.10450,193029.5313
20.09.2019 00:00:00.000,1.10447,1.10678,1.09965,1.10212,184300.7188
22.09.2019 00:00:00.000,1.10181,1.10201,1.10134,1.10189,4010.3154
23.09.2019 00:00:00.000,1.10189,1.10256,1.09664,1.09944,177783.1563
24.09.2019 00:00:00.000,1.09940,1.10244,1.09839,1.10138,182626.4375
25.09.2019 00:00:00.000,1.10138,1.10172,1.09376,1.09516,196370.0469
26.09.2019 00:00:00.000,1.09516,1.09675,1.09089,1.09226,188501.6563
27.09.2019 00:00:00.000,1.09226,1.09590,1.09049,1.09439,168250.0156
29.09.2019 00:00:00.000,1.09441,1.09465,1.09397,1.09426,4038.0601
30.09.2019 00:00:00.000,1.09425,1.09481,1.08850,1.08996,167787.1094
01.10.2019 00:00:00.000,1.08996,1.09430,1.08793,1.09343,211105.8281
02.10.2019 00:00:00.000,1.09343,1.09638,1.09044,1.09608,200281.9688
03.10.2019 00:00:00.000,1.09608,1.09994,1.09411,1.09748,218474.8438
04.10.2019 00:00:00.000,1.09747,1.09995,1.09572,1.09815,181144.4063
06.10.2019 00:00:00.000,1.09849,1.09849,1.09754,1.09837,4578.8501
07.10.2019 00:00:00.000,1.09837,1.10008,1.09622,1.09718,165687.6094
08.10.2019 00:00:00.000,1.09719,1.09959,1.09413,1.09601,208462.5625
09.10.2019 00:00:00.000,1.09601,1.09902,1.09550,1.09844,191600.2813
10.10.2019 00:00:00.000,1.09844,1.10341,1.09799,1.10110,224421.8125
11.10.2019 00:00:00.000,1.10109,1.10630,1.10009,1.10400,239795.0625
13.10.2019 00:00:00.000,1.10399,1.10399,1.10254,1.10284,5736.915
14.10.2019 00:00:00.000,1.10284,1.10428,1.10129,1.10262,151431.3281
15.10.2019 00:00:00.000,1.10262,1.10463,1.09915,1.10346,223152.5156
16.10.2019 00:00:00.000,1.10345,1.10857,1.10226,1.10740,223064.8906
17.10.2019 00:00:00.000,1.10741,1.11400,1.10653,1.11249,222927.9531
18.10.2019 00:00:00.000,1.11249,1.11727,1.11149,1.11723,138306.7188
20.10.2019 00:00:00.000,1.11628,1.11644,1.11506,1.11562,7465.0986
21.10.2019 00:00:00.000,1.11562,1.11795,1.11388,1.11519,120696.2813
22.10.2019 00:00:00.000,1.11519,1.11570,1.11178,1.11291,128928.7969
23.10.2019 00:00:00.000,1.11291,1.11406,1.11062,1.11324,119291.9766
24.10.2019 00:00:00.000,1.11323,1.11630,1.10932,1.11038,175274.5781
25.10.2019 00:00:00.000,1.11038,1.11231,1.10731,1.10813,101462.8281
27.10.2019 00:00:00.000,1.10819,1.10842,1.10782,1.10842,2185.02
28.10.2019 00:00:00.000,1.10841,1.11068,1.10763,1.10984,105907.4453
29.10.2019 00:00:00.000,1.10983,1.11187,1.10737,1.11124,121052.8359
30.10.2019 00:00:00.000,1.11124,1.11556,1.10802,1.11524,138375.9063
31.10.2019 00:00:00.000,1.11525,1.11758,1.11315,1.11563,141794.4219
01.11.2019 00:00:00.000,1.11563,1.11720,1.11284,1.11675,123147.0234
03.11.2019 00:00:00.000,1.11705,1.11713,1.11644,1.11664,1545.2139
04.11.2019 00:00:00.000,1.11662,1.11756,1.11221,1.11283,119559.9688
05.11.2019 00:00:00.000,1.11282,1.11402,1.10637,1.10743,150360.9688
06.11.2019 00:00:00.000,1.10742,1.10929,1.10652,1.10704,124951.5469
07.11.2019 00:00:00.000,1.10703,1.10918,1.10361,1.10525,160184.7656
08.11.2019 00:00:00.000,1.10527,1.10556,1.10168,1.10213,112367.6875
10.11.2019 00:00:00.000,1.10251,1.10251,1.10198,1.10221,1112.5699
11.11.2019 00:00:00.000,1.10220,1.10431,1.10165,1.10350,88618.3438
12.11.2019 00:00:00.000,1.10349,1.10387,1.10026,1.10122,120422.7813
13.11.2019 00:00:00.000,1.10123,1.10205,1.09955,1.10098,118150.3984
14.11.2019 00:00:00.000,1.10099,1.10277,1.09893,1.10200,118918.1328
15.11.2019 00:00:00.000,1.10200,1.10571,1.10147,1.10541,111245.0234
17.11.2019 00:00:00.000,1.10529,1.10549,1.10506,1.10542,3878.8799
18.11.2019 00:00:00.000,1.10541,1.10900,1.10536,1.10724,115104.9922
19.11.2019 00:00:00.000,1.10726,1.10841,1.10627,1.10782,105853.1172
20.11.2019 00:00:00.000,1.10783,1.10815,1.10531,1.10781,126812.0859
21.11.2019 00:00:00.000,1.10782,1.10971,1.10524,1.10659,130104.0938
22.11.2019 00:00:00.000,1.10659,1.10877,1.10146,1.10245,153857.125
24.11.2019 00:00:00.000,1.10185,1.10228,1.10172,1.10228,2277.73
25.11.2019 00:00:00.000,1.10229,1.10322,1.10037,1.10107,108178.3906
26.11.2019 00:00:00.000,1.10109,1.10258,1.10072,1.10222,111974.9609
27.11.2019 00:00:00.000,1.10224,1.10224,1.09924,1.10052,110442.4063
28.11.2019 00:00:00.000,1.10051,1.10181,1.10006,1.10115,65950.7891
29.11.2019 00:00:00.000,1.10116,1.10285,1.09813,1.10213,102703.1641
01.12.2019 00:00:00.000,1.10247,1.10275,1.10171,1.10185,2670.1899
02.12.2019 00:00:00.000,1.10183,1.10909,1.10031,1.10763,131644.0625
03.12.2019 00:00:00.000,1.10763,1.10937,1.10662,1.10820,131796.4688
04.12.2019 00:00:00.000,1.10820,1.11162,1.10668,1.10829,139895.25
